part,slice,injector,steady_jitter_frac,offset_over_sigma,offset_ms,offset_over_steady_sd,sigma_ms_at_this_jitter,mean_abs_perturbation_ms,detection_rate,det_ci_low,det_ci_high,far,far_ci_low,far_ci_high,covert_bits_per_s,trials
a_offsets,eMBB,adaptive,0.05,0.02,0.514528,2.058113,25.599837,0.239767,0.008,0.002184,0.020356,0.002,5.1e-05,0.011092,48.725619,500
a_offsets,eMBB,adaptive,0.05,0.05,1.286321,5.145282,25.599837,0.598996,0.646,0.602317,0.687945,0.002,5.1e-05,0.011092,47.651412,500
a_offsets,eMBB,adaptive,0.05,0.1,2.572641,10.290564,25.599837,1.202051,0.99,0.976819,0.996745,0.002,5.1e-05,0.011092,46.24894,500
b_jitter,eMBB,non_adaptive,0.05,0.01,0.257264,1.029056,25.599837,0.128404,0.0,0.0,0.007351,0.002,5.1e-05,0.011092,48.788733,500
b_jitter,eMBB,non_adaptive,0.05,0.05,1.286321,5.145282,25.599837,0.643152,0.758,0.717997,0.794921,0.002,5.1e-05,0.011092,47.921725,500
b_jitter,eMBB,non_adaptive,0.05,0.1,2.572641,10.290564,25.599837,1.285995,0.996,0.985626,0.999515,0.002,5.1e-05,0.011092,46.241409,500
b_jitter,eMBB,non_adaptive,0.1,0.01,0.257264,0.514528,25.789243,0.128332,0.032,0.018399,0.051447,0.052,0.034246,0.075266,49.099017,500
b_jitter,eMBB,non_adaptive,0.1,0.05,1.286321,2.572641,25.789243,0.644721,0.174,0.14178,0.210131,0.052,0.034246,0.075266,47.958972,500
b_jitter,eMBB,non_adaptive,0.1,0.1,2.572641,5.145282,25.789243,1.287504,0.868,0.835146,0.89642,0.052,0.034246,0.075266,46.312198,500
b_jitter,eMBB,non_adaptive,0.2,0.01,0.257264,0.257264,25.587857,0.128829,0.006,0.001239,0.017434,0.03,0.016886,0.048998,48.737108,500
b_jitter,eMBB,non_adaptive,0.2,0.05,1.286321,1.286321,25.587857,0.641702,0.122,0.094619,0.153942,0.03,0.016886,0.048998,47.813899,500
b_jitter,eMBB,non_adaptive,0.2,0.1,2.572641,2.572641,25.587857,1.283251,0.958,0.936513,0.973816,0.03,0.016886,0.048998,46.138304,500
b_jitter,eMBB,non_adaptive,0.5,0.01,0.257264,0.102906,25.862293,0.128215,0.06,0.040844,0.084549,0.088,0.064668,0.116335,48.816933,500
b_jitter,eMBB,non_adaptive,0.5,0.05,1.286321,0.514528,25.862293,0.644524,0.038,0.023031,0.058707,0.088,0.064668,0.116335,47.84771,500
b_jitter,eMBB,non_adaptive,0.5,0.1,2.572641,1.029056,25.862293,1.289373,0.024,0.012461,0.041548,0.088,0.064668,0.116335,46.200523,500
a_offsets,mMTC,non_adaptive,0.05,0.002,0.082177,0.821775,41.279486,0.04106,0.012,0.004416,0.025935,0.002,5.1e-05,0.011092,37.839169,500
a_offsets,mMTC,non_adaptive,0.05,0.005,0.205444,2.054437,41.279486,0.103003,0.016,0.006932,0.031282,0.002,5.1e-05,0.011092,37.579122,500
a_offsets,mMTC,non_adaptive,0.05,0.01,0.410887,4.108874,41.279486,0.204375,0.016,0.006932,0.031282,0.002,5.1e-05,0.011092,37.165602,500
a_offsets,mMTC,non_adaptive,0.05,0.02,0.821775,8.217748,41.279486,0.411643,0.394,0.350907,0.438354,0.002,5.1e-05,0.011092,37.534597,500
a_offsets,mMTC,non_adaptive,0.05,0.05,2.054437,20.544369,41.279486,1.026808,0.982,0.966106,0.991737,0.002,5.1e-05,0.011092,36.461781,500
a_offsets,mMTC,non_adaptive,0.05,0.1,4.108874,41.088739,41.279486,2.054793,1.0,0.992649,1.0,0.002,5.1e-05,0.011092,34.811923,500
a_offsets,mMTC,adaptive,0.05,0.002,0.082177,0.821775,41.279486,0.038366,0.002,5.1e-05,0.011092,0.002,5.1e-05,0.011092,37.788886,500
a_offsets,mMTC,adaptive,0.05,0.005,0.205444,2.054437,41.279486,0.096051,0.0,0.0,0.007351,0.002,5.1e-05,0.011092,38.098687,500
a_offsets,mMTC,adaptive,0.05,0.01,0.410887,4.108874,41.279486,0.191171,0.01,0.003255,0.023181,0.002,5.1e-05,0.011092,37.526135,500
a_offsets,mMTC,adaptive,0.05,0.02,0.821775,8.217748,41.279486,0.383286,0.292,0.252477,0.334003,0.002,5.1e-05,0.011092,37.638916,500
a_offsets,mMTC,adaptive,0.05,0.05,2.054437,20.544369,41.279486,0.951538,0.966,0.94612,0.980071,0.002,5.1e-05,0.011092,36.669619,500
a_offsets,mMTC,adaptive,0.05,0.1,4.108874,41.088739,41.279486,1.906368,1.0,0.992649,1.0,0.002,5.1e-05,0.011092,35.421941,500
b_jitter,mMTC,non_adaptive,0.05,0.01,0.410887,4.108874,41.279486,0.205907,0.01,0.003255,0.023181,0.002,5.1e-05,0.011092,37.473977,500
b_jitter,mMTC,non_adaptive,0.05,0.05,2.054437,20.544369,41.279486,1.028561,0.986,0.971368,0.994353,0.002,5.1e-05,0.011092,36.416931,500
b_jitter,mMTC,non_adaptive,0.05,0.1,4.108874,41.088739,41.279486,2.046794,1.0,0.992649,1.0,0.002,5.1e-05,0.011092,35.275489,500
b_jitter,mMTC,non_adaptive,0.1,0.01,0.410887,2.054437,41.059863,0.204658,0.052,0.034246,0.075266,0.008,0.002184,0.020356,37.393011,500
b_jitter,mMTC,non_adaptive,0.1,0.05,2.054437,10.272185,41.059863,1.029478,1.0,0.992649,1.0,0.008,0.002184,0.020356,36.181251,500
b_jitter,mMTC,non_adaptive,0.1,0.1,4.108874,20.544369,41.059863,2.05178,1.0,0.992649,1.0,0.008,0.002184,0.020356,35.131501,500
b_jitter,mMTC,non_adaptive,0.2,0.01,0.410887,1.027218,41.06085,0.205208,0.09,0.066404,0.118573,0.064,0.044184,0.089151,37.568939,500
b_jitter,mMTC,non_adaptive,0.2,0.05,2.054437,5.136092,41.06085,1.023384,0.99,0.976819,0.996745,0.064,0.044184,0.089151,36.103919,500
b_jitter,mMTC,non_adaptive,0.2,0.1,4.108874,10.272185,41.06085,2.05934,1.0,0.992649,1.0,0.064,0.044184,0.089151,34.89443,500
b_jitter,mMTC,non_adaptive,0.5,0.01,0.410887,0.410887,41.102725,0.205353,0.004,0.000485,0.014374,0.002,5.1e-05,0.011092,37.72493,500
b_jitter,mMTC,non_adaptive,0.5,0.05,2.054437,2.054437,41.102725,1.024726,0.572,0.527312,0.615832,0.002,5.1e-05,0.011092,36.617983,500
b_jitter,mMTC,non_adaptive,0.5,0.1,4.108874,4.108874,41.102725,2.049999,0.996,0.985626,0.999515,0.002,5.1e-05,0.011092,35.068355,500
