snr,residual,attack,n_clean,n_attack,roc_auc,auc_ci_low,auc_ci_high,threshold,fpr,fpr_ci_low,fpr_ci_high,detection_rate,det_ci_low,det_ci_high,detection_at_5pct_fpr
0,level,non_adaptive,200,200,0.50685,0.453665,0.565233,3.393199,0.035,0.014186,0.070781,0.035,0.014186,0.070781,0.05
0,level,adaptive,200,200,0.501725,0.444905,0.558169,3.393199,0.035,0.014186,0.070781,0.035,0.014186,0.070781,0.05
0,level,band_limited_adaptive,200,200,0.5,0.443892,0.552141,3.393199,0.035,0.014186,0.070781,0.035,0.014186,0.070781,0.05
0,allocation,non_adaptive,200,200,0.504762,0.447479,0.561636,3.357258,0.06,0.031384,0.102462,0.065,0.035061,0.108587,0.055
0,allocation,adaptive,200,200,0.500375,0.446546,0.555416,3.357258,0.06,0.031384,0.102462,0.06,0.031384,0.102462,0.05
0,allocation,band_limited_adaptive,200,200,0.500012,0.443648,0.557165,3.357258,0.06,0.031384,0.102462,0.06,0.031384,0.102462,0.05
5,level,non_adaptive,200,200,0.5292,0.473387,0.586112,3.312136,0.055,0.027772,0.096278,0.07,0.038796,0.11466,0.06
5,level,adaptive,200,200,0.506275,0.447544,0.558214,3.312136,0.055,0.027772,0.096278,0.06,0.031384,0.102462,0.055
5,level,band_limited_adaptive,200,200,0.5,0.444692,0.555417,3.312136,0.055,0.027772,0.096278,0.055,0.027772,0.096278,0.05
5,allocation,non_adaptive,200,200,0.543,0.486435,0.601194,3.43327,0.055,0.027772,0.096278,0.09,0.054214,0.138508,0.085
5,allocation,adaptive,200,200,0.507712,0.452355,0.561908,3.43327,0.055,0.027772,0.096278,0.06,0.031384,0.102462,0.055
5,allocation,band_limited_adaptive,200,200,0.500075,0.439006,0.555302,3.43327,0.055,0.027772,0.096278,0.055,0.027772,0.096278,0.05
10,level,non_adaptive,200,200,0.765275,0.713099,0.812357,3.295203,0.04,0.017425,0.077292,0.4,0.331546,0.471464,0.425
10,level,adaptive,200,200,0.525075,0.467511,0.578676,3.295203,0.04,0.017425,0.077292,0.04,0.017425,0.077292,0.05
10,level,band_limited_adaptive,200,200,0.5,0.445754,0.556864,3.295203,0.04,0.017425,0.077292,0.04,0.017425,0.077292,0.05
10,allocation,non_adaptive,200,200,0.965175,0.947024,0.980416,3.426656,0.045,0.02078,0.083703,0.885,0.832453,0.925687,0.885
10,allocation,adaptive,200,200,0.538338,0.485312,0.592506,3.426656,0.045,0.02078,0.083703,0.075,0.042583,0.120684,0.08
10,allocation,band_limited_adaptive,200,200,0.500012,0.440037,0.553589,3.426656,0.045,0.02078,0.083703,0.045,0.02078,0.083703,0.05
15,level,non_adaptive,200,200,1.0,1.0,1.0,3.439175,0.03,0.011087,0.064151,1.0,0.981725,1.0,1.0
15,level,adaptive,200,200,0.659263,0.607899,0.711323,3.439175,0.03,0.011087,0.064151,0.18,0.129369,0.240381,0.23
15,level,band_limited_adaptive,200,200,0.5,0.443348,0.553817,3.439175,0.03,0.011087,0.064151,0.03,0.011087,0.064151,0.05
15,allocation,non_adaptive,200,200,1.0,1.0,1.0,3.466241,0.035,0.014186,0.070781,1.0,0.981725,1.0,1.0
15,allocation,adaptive,200,200,0.812463,0.772334,0.851765,3.466241,0.035,0.014186,0.070781,0.435,0.365217,0.506739,0.45
15,allocation,band_limited_adaptive,200,200,0.500238,0.438434,0.562245,3.466241,0.035,0.014186,0.070781,0.035,0.014186,0.070781,0.05
20,level,non_adaptive,200,200,1.0,1.0,1.0,3.375534,0.03,0.011087,0.064151,1.0,0.981725,1.0,1.0
20,level,adaptive,200,200,0.993962,0.988087,0.998377,3.375534,0.03,0.011087,0.064151,0.96,0.922708,0.982575,0.97
20,level,band_limited_adaptive,200,200,0.5,0.446077,0.556528,3.375534,0.03,0.011087,0.064151,0.03,0.011087,0.064151,0.05
20,allocation,non_adaptive,200,200,1.0,1.0,1.0,3.413845,0.055,0.027772,0.096278,1.0,0.981725,1.0,1.0
20,allocation,adaptive,200,200,1.0,1.0,1.0,3.413845,0.055,0.027772,0.096278,1.0,0.981725,1.0,1.0
20,allocation,band_limited_adaptive,200,200,0.522787,0.466523,0.577068,3.413845,0.055,0.027772,0.096278,0.06,0.031384,0.102462,0.055
25,level,non_adaptive,200,200,1.0,1.0,1.0,3.406905,0.065,0.035061,0.108587,1.0,0.981725,1.0,1.0
25,level,adaptive,200,200,1.0,1.0,1.0,3.406905,0.065,0.035061,0.108587,1.0,0.981725,1.0,1.0
25,level,band_limited_adaptive,200,200,0.5,0.440374,0.555925,3.406905,0.065,0.035061,0.108587,0.065,0.035061,0.108587,0.05
25,allocation,non_adaptive,200,200,1.0,1.0,1.0,3.356009,0.05,0.024234,0.090028,1.0,0.981725,1.0,1.0
25,allocation,adaptive,200,200,1.0,1.0,1.0,3.356009,0.05,0.024234,0.090028,1.0,0.981725,1.0,1.0
25,allocation,band_limited_adaptive,200,200,0.979375,0.966298,0.990691,3.356009,0.05,0.024234,0.090028,0.91,0.861492,0.945786,0.91
30,level,non_adaptive,200,200,1.0,1.0,1.0,3.332165,0.065,0.035061,0.108587,1.0,0.981725,1.0,1.0
30,level,adaptive,200,200,1.0,1.0,1.0,3.332165,0.065,0.035061,0.108587,1.0,0.981725,1.0,1.0
30,level,band_limited_adaptive,200,200,0.5,0.445071,0.554043,3.332165,0.065,0.035061,0.108587,0.065,0.035061,0.108587,0.05
30,allocation,non_adaptive,200,200,1.0,1.0,1.0,3.308564,0.06,0.031384,0.102462,1.0,0.981725,1.0,1.0
30,allocation,adaptive,200,200,1.0,1.0,1.0,3.308564,0.06,0.031384,0.102462,1.0,0.981725,1.0,1.0
30,allocation,band_limited_adaptive,200,200,1.0,1.0,1.0,3.308564,0.06,0.031384,0.102462,1.0,0.981725,1.0,1.0
