# throughput_bps assumes 30 kHz SCS: frame = 200 symbols = 7.143 ms
snr,attack,residual,bits_per_frame,throughput_bps,mean_abs_perturbation,roc_auc,auc_ci_low,auc_ci_high,detection_rate,fpr,n_per_class
15,non_adaptive,allocation,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.06,200
15,non_adaptive,level,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.045,200
15,non_adaptive,allocation,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.06,200
15,adaptive,level,8,1120.0,0.299764,0.554113,0.500304,0.611404,0.09,0.045,200
15,adaptive,allocation,8,1120.0,0.299764,0.633587,0.583739,0.689271,0.165,0.06,200
15,adaptive,level,16,2240.0,0.291122,0.678225,0.625724,0.730881,0.2,0.045,200
15,adaptive,allocation,16,2240.0,0.291122,0.804212,0.757293,0.844058,0.47,0.06,200
15,adaptive,level,32,4480.0,0.230626,0.68825,0.632124,0.734251,0.215,0.045,200
15,adaptive,allocation,32,4480.0,0.230626,0.843025,0.802865,0.879525,0.49,0.06,200
15,adaptive,level,64,8960.0,0.163351,0.617825,0.565063,0.670231,0.135,0.045,200
15,adaptive,allocation,64,8960.0,0.163351,0.7247,0.674424,0.777926,0.295,0.06,200
15,adaptive,level,128,17920.0,0.1155,0.574662,0.518461,0.630662,0.105,0.045,200
15,adaptive,allocation,128,17920.0,0.1155,0.622188,0.566292,0.674276,0.145,0.06,200
15,adaptive,level,256,35840.0,0.081623,0.525375,0.469403,0.586146,0.07,0.045,200
15,adaptive,allocation,256,35840.0,0.081623,0.556125,0.495627,0.612653,0.09,0.06,200
20,non_adaptive,level,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,non_adaptive,level,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,non_adaptive,level,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,non_adaptive,level,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,non_adaptive,level,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,non_adaptive,level,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.055,200
20,non_adaptive,allocation,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.05,200
20,adaptive,level,8,1120.0,0.299677,0.903213,0.872745,0.932787,0.735,0.055,200
20,adaptive,allocation,8,1120.0,0.299677,0.990962,0.983474,0.996854,0.965,0.05,200
20,adaptive,level,16,2240.0,0.289716,0.989675,0.979123,0.997738,0.975,0.055,200
20,adaptive,allocation,16,2240.0,0.289716,0.99995,0.9997,1.0,1.0,0.05,200
20,adaptive,level,32,4480.0,0.225181,0.991625,0.983661,0.99745,0.965,0.055,200
20,adaptive,allocation,32,4480.0,0.225181,1.0,1.0,1.0,1.0,0.05,200
20,adaptive,level,64,8960.0,0.159469,0.969838,0.95477,0.982325,0.885,0.055,200
20,adaptive,allocation,64,8960.0,0.159469,0.999837,0.999425,1.0,1.0,0.05,200
20,adaptive,level,128,17920.0,0.112739,0.851713,0.811958,0.884908,0.505,0.055,200
20,adaptive,allocation,128,17920.0,0.112739,0.998375,0.995861,0.99985,0.995,0.05,200
20,adaptive,level,256,35840.0,0.079693,0.692912,0.63959,0.745935,0.215,0.055,200
20,adaptive,allocation,256,35840.0,0.079693,0.971925,0.958308,0.986202,0.88,0.05,200
25,non_adaptive,level,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,non_adaptive,level,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,non_adaptive,level,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,non_adaptive,level,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,non_adaptive,level,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,non_adaptive,level,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.055,200
25,non_adaptive,allocation,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,8,1120.0,0.299882,1.0,1.0,1.0,1.0,0.055,200
25,adaptive,allocation,8,1120.0,0.299882,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,16,2240.0,0.28966,1.0,1.0,1.0,1.0,0.055,200
25,adaptive,allocation,16,2240.0,0.28966,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,32,4480.0,0.226864,1.0,1.0,1.0,1.0,0.055,200
25,adaptive,allocation,32,4480.0,0.226864,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,64,8960.0,0.160587,1.0,1.0,1.0,1.0,0.055,200
25,adaptive,allocation,64,8960.0,0.160587,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,128,17920.0,0.113694,1.0,1.0,1.0,1.0,0.055,200
25,adaptive,allocation,128,17920.0,0.113694,1.0,1.0,1.0,1.0,0.07,200
25,adaptive,level,256,35840.0,0.080547,0.987887,0.979773,0.994295,0.92,0.055,200
25,adaptive,allocation,256,35840.0,0.080547,1.0,1.0,1.0,1.0,0.07,200
30,non_adaptive,level,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,8,1120.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,non_adaptive,level,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,16,2240.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,non_adaptive,level,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,32,4480.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,non_adaptive,level,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,64,8960.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,non_adaptive,level,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,128,17920.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,non_adaptive,level,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.08,200
30,non_adaptive,allocation,256,35840.0,0.5,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,8,1120.0,0.299761,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,8,1120.0,0.299761,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,16,2240.0,0.290699,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,16,2240.0,0.290699,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,32,4480.0,0.229352,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,32,4480.0,0.229352,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,64,8960.0,0.16227,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,64,8960.0,0.16227,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,128,17920.0,0.115246,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,128,17920.0,0.115246,1.0,1.0,1.0,1.0,0.085,200
30,adaptive,level,256,35840.0,0.081359,1.0,1.0,1.0,1.0,0.08,200
30,adaptive,allocation,256,35840.0,0.081359,1.0,1.0,1.0,1.0,0.085,200
