snr,residual,attack,n_covert_bits,fraction_of_grid,mean_cells_changed,mean_abs_perturbation,total_perturbation_energy,roc_auc,auc_ci_low,auc_ci_high,fpr,detection_rate,det_ci_low,det_ci_high,n_clean,n_attack
15,allocation,adaptive,2048,0.16,2048.0,0.028864,1.744803,0.512275,0.454725,0.56977,0.035,0.04,0.017425,0.077292,200,200
15,allocation,band_limited_adaptive,8,0.000625,3.53,0.102449,0.04809,0.500037,0.445404,0.556419,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,32,0.0025,13.495,0.097881,0.172146,0.500238,0.443818,0.560164,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,128,0.01,55.495,0.082269,0.45746,0.50225,0.447625,0.559498,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,512,0.04,217.395,0.049604,0.597748,0.503225,0.45282,0.561857,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,2048,0.16,869.435,0.026865,0.670512,0.503588,0.445562,0.565768,0.035,0.035,0.014186,0.070781,200,200
15,level,non_adaptive,8,0.000625,8.0,0.5,2.0,0.853512,0.814438,0.890502,0.03,0.545,0.473259,0.615387,200,200
15,level,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,adaptive,8,0.000625,8.0,0.299824,0.719207,0.568688,0.509704,0.62333,0.03,0.08,0.046418,0.126665,200,200
15,level,adaptive,32,0.0025,32.0,0.230377,1.735189,0.659263,0.603658,0.710334,0.03,0.18,0.129369,0.240381,200,200
15,level,adaptive,128,0.01,128.0,0.115205,1.737541,0.567,0.50944,0.621294,0.03,0.045,0.02078,0.083703,200,200
15,level,adaptive,512,0.04,512.0,0.057761,1.746735,0.521362,0.468082,0.577316,0.03,0.035,0.014186,0.070781,200,200
15,level,adaptive,2048,0.16,2048.0,0.028864,1.744803,0.520363,0.462084,0.578201,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,8,0.000625,3.53,0.102449,0.04809,0.5,0.447294,0.556651,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,32,0.0025,13.495,0.097881,0.172146,0.5,0.442881,0.558319,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,128,0.01,55.495,0.082269,0.45746,0.5,0.44586,0.555942,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,512,0.04,217.395,0.049604,0.597748,0.5,0.44534,0.554993,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,2048,0.16,869.435,0.026865,0.670512,0.5,0.4422,0.556125,0.03,0.03,0.011087,0.064151,200,200
20,allocation,non_adaptive,8,0.000625,8.0,0.5,2.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,adaptive,8,0.000625,8.0,0.299544,0.717973,0.993912,0.987124,0.998639,0.055,0.975,0.942626,0.991834,200,200
20,allocation,adaptive,32,0.0025,32.0,0.226018,1.669552,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,adaptive,128,0.01,128.0,0.112668,1.661249,0.99655,0.992974,0.999025,0.055,0.985,0.956792,0.996896,200,200
20,allocation,adaptive,512,0.04,512.0,0.056364,1.663331,0.824038,0.779977,0.861715,0.055,0.36,0.293505,0.430714,200,200
20,allocation,adaptive,2048,0.16,2048.0,0.028178,1.662751,0.590088,0.532998,0.64772,0.055,0.085,0.050296,0.132605,200,200
20,allocation,band_limited_adaptive,8,0.000625,4.895,0.099067,0.061466,0.500637,0.445963,0.559316,0.055,0.055,0.027772,0.096278,200,200
20,allocation,band_limited_adaptive,32,0.0025,19.91,0.10116,0.261423,0.522787,0.468096,0.58085,0.055,0.06,0.031384,0.102462,200,200
20,allocation,band_limited_adaptive,128,0.01,80.59,0.08184,0.646681,0.544688,0.487017,0.60084,0.055,0.08,0.046418,0.126665,200,200
20,allocation,band_limited_adaptive,512,0.04,322.425,0.049244,0.864442,0.53075,0.471884,0.587591,0.055,0.075,0.042583,0.120684,200,200
20,allocation,band_limited_adaptive,2048,0.16,1285.75,0.02649,0.957666,0.519575,0.46612,0.57453,0.055,0.06,0.031384,0.102462,200,200
20,level,non_adaptive,8,0.000625,8.0,0.5,2.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
20,level,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
20,level,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
20,level,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
20,level,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
20,level,adaptive,8,0.000625,8.0,0.299544,0.717973,0.920938,0.888119,0.947188,0.03,0.755,0.68936,0.812916,200,200
20,level,adaptive,32,0.0025,32.0,0.226018,1.669552,0.993962,0.988483,0.998313,0.03,0.96,0.922708,0.982575,200,200
20,level,adaptive,128,0.01,128.0,0.112668,1.661249,0.837213,0.797123,0.875718,0.03,0.455,0.384613,0.526741,200,200
20,level,adaptive,512,0.04,512.0,0.056364,1.663331,0.61545,0.560343,0.669311,0.03,0.07,0.038796,0.11466,200,200
20,level,adaptive,2048,0.16,2048.0,0.028178,1.662751,0.547612,0.492269,0.605842,0.03,0.055,0.027772,0.096278,200,200
20,level,band_limited_adaptive,8,0.000625,4.895,0.099067,0.061466,0.5,0.44232,0.555175,0.03,0.03,0.011087,0.064151,200,200
20,level,band_limited_adaptive,32,0.0025,19.91,0.10116,0.261423,0.5,0.446575,0.555489,0.03,0.03,0.011087,0.064151,200,200
20,level,band_limited_adaptive,128,0.01,80.59,0.08184,0.646681,0.5,0.444804,0.556954,0.03,0.03,0.011087,0.064151,200,200
20,level,band_limited_adaptive,512,0.04,322.425,0.049244,0.864442,0.5,0.44615,0.559179,0.03,0.03,0.011087,0.064151,200,200
20,level,band_limited_adaptive,2048,0.16,1285.75,0.02649,0.957666,0.5,0.444098,0.557004,0.03,0.03,0.011087,0.064151,200,200
